Symbol,EPS,PE_Ratio,Dividend_Yield,ROE,Book_Value,Debt_to_Equity
FFLM,0.06,112.67,,,11.268,
FFLNV,,,,,,
FFLR1,,,,,,
FHAM,1.88,16.28,,,52.188,
FIBLM,0.22,50.86,,,11.392,
FIL,(0.09),-1859.11,,,,
FIM,,,,,,
FIMM,,,,,82.256,
FLYNG,0.29,145.03,,,18.233,
FLYNGR1,,,,,,
FML,0.10,505.6,,,82.552,
FNBM,(0.11),-5.82,,,-0.896,
FNEL,,,,,0.405,
FPJM,(0.66),-10.95,,,46.488,
FPRM,0.07,175.86,,,20.344,
FRCL,1.37,52.41,,,53.3,
FRSM,1.87,23.53,,,62.909,
FSWL,(1.65),-51.03,,,281.03,
FTHM,,,,,,
FTMM,0.07,178.57,,,13.281,
FTSM,,,,,15.713,
FUDLM,(0.08),-100.0,,,,
FZCM,4.72,54.64,,,1681.256,
GADT,2.59,97.51,,,853.06,
GAIL,(0.14),-52.86,,,,
GAILR1,,,,,,
GAL,17.14,24.63,,,,
GAMON,0.11,186.09,,,27.755,
GASF,(1.24),-5.4,,,6.906,
GATI,(0.82),-106.79,,,110.753,
GATM,(0.27),-83.63,,,70.074,
GCIL,1.23,22.96,,,,
GCILB,,,,,,
GCWL,0.22,73.5,,,,
GDL,0.33,62.85,,,,
GEMBCEM,0.02,575.0,,,,
GEMBLUEX,0.56,131.25,,,46.009,
GEMMEL,0.01,2714.0,,,,
GEMNETS,0.35,49.57,,,,
GEMPACRA,0.29,99.97,,,,
GEMPAPL,0.55,18.18,,,23.183,
GEMSPNL,0.84,102.32,,,23.636,
GEMUNSL,0.40,50.0,,,,
GENP,(0.68),-1.31,,,,
GFIL,(2.20),-13.77,,,120.35,
GGGL,0.08,99.12,,,11.968,
GGGLR1,,,,,,
GGL,0.01,1807.0,,,20.56,
GGLR1,,,,,,
GHGL,2.29,15.98,,,39.227,
GHGLR1,,,,,,
GHNI,59.16,13.5,,,372.476,
GHNL,3.13,10.83,,,133.819,
GIL,2.65,377.36,,,3373.375,
GLAT,(2.34),-27.78,,,,
GLAXO,8.20,41.33,,,105.74,
GLOT,,,,,,
GLPL,(0.95),-746.34,,,31.852,
GOC,2.22,38.23,,,92.154,
GOEM,(7.16),-5.59,,,,
GRR,0.54,37.41,,,13.581,
GRYL,,,,,3.535,
GSKCH,(2.95),-40.76,,,,
GSPM,(0.15),-26.0,,,-134.172,
GTECH,0.10,85.8,,,,
GTECHBR,,,,,,
GTYR,(1.49),-18.21,,,53.927,
GUSM,0.88,6.99,,,-114.329,
GUTM,(1.52),-9.87,,,,
GVGL,2.17,25.06,,,31.461,
GWLC,1.32,33.8,,,64.596,
HABSM,2.87,24.77,,,123.932,
HACC,(0.58),-32.16,,,,
HADC,(0.01),-1651.0,,,0.317,
HAEL,0.25,77.28,,,40.341,
HAFL,,,,,533.926,
HAJT,,,,,,
HAL,3.08,12.42,,,,
HALEON,13.03,55.97,,,126.45,
HASCOL,0.45,47.4,,,-93.259,
HASCOLR1,,,,,,
HATM,(0.47),-2.06,,,,
HBL,10.51,27.01,,,331.965,
HBLTETF,,,,,,
HCAR,4.59,45.65,,,171.728,
HCL,32.23,29.76,,,70.94,
HGFA,0.06,252.5,,,,
HICL,0.71,14.42,,,19.116,
HIFA,0.95,5.11,,,,
HINO,(3.20),-103.26,,,237.103,
HINOON,18.04,51.54,,,259.572,
HIRAT,(0.71),-5.9,,,-8.684,
HKKT,,,,,,
HMB,4.67,24.95,,,122.992,
HMICL,1.28,4.84,,,,
HMIM,(0.12),-72.92,,,0.548,
HMM,0.28,20.71,,,,
HPL,74.71,53.22,,,923.235,
HRPL,(1.22),-14.59,,,18.59,
HSM,(1.45),-8.83,,,,
HSMCPS,,,,,,
HSMPSR,,,,,,
HSMR1,,,,,,
